dataset,docs_size,num_bands,exp_tag,exp_type,block,doc_lang,query_lang_a,query_lang_b,pair,doc_mix,method,model,result_kind,result_variant,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,gte-multilingual-base,vector_mix,,80.4401,80.6683,0.22820000000000107,90.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,jina-embeddings-v3,vector_mix,,75.7949,76.9024,1.1075000000000017,70.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-composition,bilingual,composition,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,multilingual-e5-large-instruct,vector_mix,,80.7874,81.7967,1.009299999999996,50.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-size,bilingual,size,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,Qwen3-Embedding-0.6B,vector_mix,,81.013,81.5453,0.5322999999999922,90.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-size,bilingual,size,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,Qwen3-Embedding-4B,vector_mix,,86.3944,87.0593,0.6648999999999887,70.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-ar-zh-size,bilingual,size,ar-zh,ar,zh,AR-ZH,AR + ZH docs,embed,Qwen3-Embedding-8B,vector_mix,,87.8009,88.7105,0.9095999999999975,70.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,Qwen3-Embedding-0.6B,vector_mix,,77.4272,78.8552,1.4279999999999973,30.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,gte-multilingual-base,vector_mix,,74.8671,77.1143,2.2472000000000065,50.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,jina-embeddings-v3,vector_mix,,77.8591,78.8266,0.9675000000000011,30.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
mmarco,100000,5,bilingual-de-nl-composition,bilingual,composition,de-nl,de,nl,DE-NL,DE + NL docs,embed,multilingual-e5-large-instruct,vector_mix,,82.646,84.2793,1.6333000000000055,50.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
