pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
AR-ZH,AR + ZH docs,26.3645,26.6695,0.3049999999999997,70.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,bi,L1+L2 docs
AR-ZH,AR docs,24.4812,25.9733,1.492099999999997,50.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L1 docs
AR-ZH,ZH docs,26.0793,26.3893,0.3099999999999987,70.0,ar,zh,mismatch,1,1,H-H,0.4159,0.6715,1.0,1.0,mono,L2 docs
DE-FR,DE + FR docs,30.1938,30.8763,0.682500000000001,70.0,de,fr,match,1,1,H-H,0.1721,-1.0,0.0,0.8578,bi,L1+L2 docs
DE-FR,DE docs,27.8804,28.553,0.6725999999999992,30.0,de,fr,match,1,1,H-H,0.1721,-1.0,0.0,0.8578,mono,L1 docs
DE-FR,FR docs,30.1557,30.6441,0.48840000000000217,70.0,de,fr,match,1,1,H-H,0.1721,-1.0,0.0,0.8578,mono,L2 docs
DE-IT,DE + IT docs,28.9546,30.5307,1.5761000000000003,70.0,de,it,match,1,1,H-L,0.2168,-1.0,0.0,0.8258,bi,L1+L2 docs
DE-IT,DE docs,27.8804,28.8215,0.9410999999999987,30.0,de,it,match,1,1,H-L,0.2168,-1.0,0.0,0.8258,mono,L1 docs
DE-IT,IT docs,29.0474,30.1853,1.137900000000002,70.0,de,it,match,1,1,H-L,0.2168,-1.0,0.0,0.8258,mono,L2 docs
DE-NL,DE + NL docs,28.6505,29.8236,1.173099999999998,50.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,bi,L1+L2 docs
DE-NL,DE docs,27.8138,28.624,0.8101999999999983,30.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,mono,L1 docs
DE-NL,NL docs,28.7007,29.8191,1.1183999999999976,70.0,de,nl,match,0,0,H-L,0.0849,-1.0,0.0,0.5417,mono,L2 docs
EN-AR,AR docs,24.4812,27.4015,2.9202999999999975,50.0,en,ar,mismatch,1,1,H-H,0.3046,0.5482,1.0,1.0,mono,L2 docs
EN-AR,EN + AR docs,33.665,33.6259,-0.03909999999999769,10.0,en,ar,mismatch,1,1,H-H,0.3046,0.5482,1.0,1.0,bi,L1+L2 docs
EN-AR,EN docs,33.6276,33.587,-0.04059999999999775,10.0,en,ar,mismatch,1,1,H-H,0.3046,0.5482,1.0,1.0,mono,L1 docs
EN-DE,DE docs,27.8804,29.6791,1.7986999999999966,50.0,en,de,match,0,1,H-H,0.1808,-1.0,0.6667,0.5833,mono,L2 docs
EN-DE,EN + DE docs,33.8012,33.8583,0.057099999999998374,30.0,en,de,match,0,1,H-H,0.1808,-1.0,0.6667,0.5833,bi,L1+L2 docs
EN-DE,EN docs,33.6276,33.5602,-0.06739999999999924,10.0,en,de,match,0,1,H-H,0.1808,-1.0,0.6667,0.5833,mono,L1 docs
EN-ES,EN + ES docs,33.7696,33.7378,-0.03179999999999694,10.0,en,es,match,1,1,H-H,0.2669,-1.0,0.6667,0.8452,bi,L1+L2 docs
EN-ES,EN docs,33.6276,33.5329,-0.09470000000000312,10.0,en,es,match,1,1,H-H,0.2669,-1.0,0.6667,0.8452,mono,L1 docs
EN-ES,ES docs,30.0736,31.7315,1.6579000000000015,50.0,en,es,match,1,1,H-H,0.2669,-1.0,0.6667,0.8452,mono,L2 docs
EN-FR,EN + FR docs,33.7332,33.6117,-0.1214999999999975,30.0,en,fr,match,1,1,H-H,0.232,0.4732,0.6667,0.8578,bi,L1+L2 docs
EN-FR,EN docs,33.6479,33.5939,-0.054000000000002046,30.0,en,fr,match,1,1,H-H,0.232,0.4732,0.6667,0.8578,mono,L1 docs
EN-FR,FR docs,30.154,31.4395,1.285499999999999,70.0,en,fr,match,1,1,H-H,0.232,0.4732,0.6667,0.8578,mono,L2 docs
EN-HI,EN + HI docs,33.5526,33.6153,0.06269999999999953,10.0,en,hi,mismatch,1,1,H-L,0.3173,0.5803,0.75,0.8333,bi,L1+L2 docs
EN-HI,EN docs,33.6276,33.6635,0.035899999999998045,10.0,en,hi,mismatch,1,1,H-L,0.3173,0.5803,0.75,0.8333,mono,L1 docs
EN-HI,HI docs,26.8289,28.8023,1.973399999999998,50.0,en,hi,mismatch,1,1,H-L,0.3173,0.5803,0.75,0.8333,mono,L2 docs
EN-ID,EN + ID docs,33.6075,33.5773,-0.03020000000000067,10.0,en,id,match,1,0,H-L,0.2383,0.5196,0.6667,1.0,bi,L1+L2 docs
EN-ID,EN docs,33.6276,33.5369,-0.09069999999999823,10.0,en,id,match,1,0,H-L,0.2383,0.5196,0.6667,1.0,mono,L1 docs
EN-ID,ID docs,28.404,29.7272,1.3232,50.0,en,id,match,1,0,H-L,0.2383,0.5196,0.6667,1.0,mono,L2 docs
EN-IT,EN + IT docs,33.916,33.7223,-0.19369999999999976,10.0,en,it,match,1,1,H-L,0.2227,0.4755,0.6667,0.8258,bi,L1+L2 docs
EN-IT,EN docs,33.6479,33.6974,0.049500000000001876,10.0,en,it,match,1,1,H-L,0.2227,0.4755,0.6667,0.8258,mono,L1 docs
EN-IT,IT docs,29.0474,30.7628,1.715399999999999,50.0,en,it,match,1,1,H-L,0.2227,0.4755,0.6667,0.8258,mono,L2 docs
EN-JA,EN + JA docs,33.4518,33.4503,-0.0015000000000000568,10.0,en,ja,mismatch,1,1,H-H,0.4123,0.5802,0.75,1.0,bi,L1+L2 docs
EN-JA,EN docs,33.6276,33.6486,0.021000000000000796,10.0,en,ja,mismatch,1,1,H-H,0.4123,0.5802,0.75,1.0,mono,L1 docs
EN-JA,JA docs,27.2123,28.342,1.1296999999999997,70.0,en,ja,mismatch,1,1,H-H,0.4123,0.5802,0.75,1.0,mono,L2 docs
EN-NL,EN + NL docs,33.6604,33.7816,0.12119999999999465,10.0,en,nl,match,0,1,H-L,0.1923,0.4135,0.6667,0.5417,bi,L1+L2 docs
