pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
AR-ZH,AR + ZH docs,embed,0.0,24.4965,34.8077,0.9036,23.0094,25.9837,22.7241,26.2689,20.3938,38.7522,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251217-111940-agg.csv
AR-ZH,AR + ZH docs,embed,10.0,25.1005,34.9644,0.9076,23.6066,26.5943,23.3201,26.8809,20.826,39.9652,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251217-112000-agg.csv
AR-ZH,AR + ZH docs,embed,30.0,26.3449,35.0454,0.9097,24.8476,27.8422,24.5604,28.1294,21.6284,42.5932,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251217-112019-agg.csv
AR-ZH,AR + ZH docs,embed,50.0,26.2478,34.8282,0.9041,24.7598,27.7359,24.4744,28.0213,21.4277,42.4248,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251217-112037-agg.csv
AR-ZH,AR + ZH docs,embed,70.0,26.6695,34.8105,0.9036,25.1822,28.1568,24.897,28.4421,21.7488,43.3008,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251217-112058-agg.csv
AR-ZH,AR + ZH docs,embed,90.0,26.3817,34.9273,0.9067,24.8894,27.874,24.6032,28.1602,21.6199,42.5595,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251217-112119-agg.csv
AR-ZH,AR + ZH docs,embed,100.0,26.3645,34.8406,0.9044,24.8759,27.853,24.5904,28.1385,21.5502,42.8628,bge-m3,mmarco-8841823-bilingual-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251217-112140-agg.csv
AR-ZH,AR docs,embed,0.0,24.4812,34.7626,0.9024,22.996,25.9664,22.7111,26.2513,20.3437,38.7972,bge-m3,mmarco-8841823-arabic-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-033014-agg.csv
AR-ZH,AR docs,embed,10.0,24.992,34.7263,0.9015,23.5083,26.4757,23.2237,26.7602,20.6838,39.9427,bge-m3,mmarco-8841823-arabic-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-033032-agg.csv
AR-ZH,AR docs,embed,30.0,25.9402,35.1008,0.9112,24.4405,27.4399,24.1529,27.7275,21.3507,41.56,bge-m3,mmarco-8841823-arabic-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-033053-agg.csv
AR-ZH,AR docs,embed,50.0,25.9733,35.3269,0.917,24.4639,27.4826,24.1744,27.7721,21.5321,41.3241,bge-m3,mmarco-8841823-arabic-ar-zh-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-033112-agg.csv
