docid,lang,title,snippet
10462,spanish,,
23902,spanish,,
31718,spanish,,
42773,spanish,,
43743,spanish,,
44535,spanish,,
51717,spanish,,
61799,chinese,,
61801,,,
67279,spanish,,
85362,spanish,,
86922,chinese,,
107609,spanish,,
112999,spanish,,
113004,spanish,,
124067,spanish,,
132536,chinese,,
143715,spanish,,
144334,spanish,,
155323,,,
155324,chinese,,
156791,spanish,,
156841,spanish,,
169423,chinese,,
199363,spanish,,
210727,spanish,,
210729,spanish,,
225975,spanish,,
226425,chinese,,
227839,spanish,,
238181,spanish,,
262205,spanish,,
270560,,,
274733,spanish,,
274735,spanish,,
274739,spanish,,
275471,chinese,,
279506,spanish,,
286375,chinese,,
286376,chinese,,
286381,chinese,,
328110,chinese,,
336697,spanish,,
340618,spanish,,
349495,spanish,,
357149,spanish,,
358892,spanish,,
392578,chinese,,
392579,spanish,,
396080,spanish,,
411416,,,
411424,chinese,,
423593,,,
432883,spanish,,
443010,chinese,,
468931,spanish,,
473963,spanish,,
479638,spanish,,
528519,chinese,,
539119,spanish,,
539124,spanish,,
543131,spanish,,
553498,,,
559098,chinese,,
561942,spanish,,
566403,spanish,,
568978,chinese,,
576850,spanish,,
595367,spanish,,
595372,chinese,,
624451,spanish,,
639400,chinese,,
646058,spanish,,
669761,chinese,,
672597,chinese,,
682127,spanish,,
691855,spanish,,
697485,spanish,,
707557,chinese,,
739573,spanish,,
756143,chinese,,
757360,chinese,,
757363,chinese,,
776269,,,
784579,chinese,,
788044,spanish,,
793745,spanish,,
793746,spanish,,
795036,chinese,,
808730,,,
811524,spanish,,
814448,chinese,,
826686,chinese,,
826688,spanish,,
847070,spanish,,
850278,spanish,,
852755,spanish,,
873515,spanish,,
878503,spanish,,
886375,chinese,,
906705,spanish,,
915065,spanish,,
915481,spanish,,
922549,spanish,,
953686,chinese,,
958278,chinese,,
961218,spanish,,
961686,spanish,,
963610,chinese,,
963651,chinese,,
1045517,,,
1056079,chinese,,
1064955,spanish,,
1069019,spanish,,
1077947,spanish,,
1088389,spanish,,
1089558,spanish,,
1090490,chinese,,
1090492,chinese,,
1090493,chinese,,
1094852,spanish,,
1108381,spanish,,
1146989,chinese,,
1151079,chinese,,
1151082,,,
1153970,spanish,,
1155129,spanish,,
1156429,spanish,,
1166176,chinese,,
1171089,spanish,,
1177032,spanish,,
1177372,chinese,,
1182119,chinese,,
1197593,spanish,,
1206141,spanish,,
1221820,,,
1225435,chinese,,
1259666,,,
1267388,chinese,,
1270042,chinese,,
1292189,spanish,,
1296732,chinese,,
1296733,spanish,,
1296736,spanish,,
1298700,spanish,,
1313288,spanish,,
1333532,spanish,,
1342502,spanish,,
1344199,spanish,,
1365804,spanish,,
1367392,chinese,,
1374795,chinese,,
1391836,spanish,,
1397770,spanish,,
1414892,spanish,,
1416075,spanish,,
1483405,chinese,,
1485616,chinese,,
1491391,spanish,,
1503871,spanish,,
1505788,spanish,,
1508859,spanish,,
1512552,chinese,,
1525409,chinese,,
1530692,,,
1530693,,,
1535514,spanish,,
1535517,spanish,,
1535688,spanish,,
1544065,spanish,,
1553798,chinese,,
1560209,spanish,,
1561483,spanish,,
1577014,,,
1580943,chinese,,
1596740,chinese,,
