pair,doc_mix,ndcg_0,ndcg_10,ndcg_30,ndcg_50,ndcg_70,ndcg_90,ndcg_100,fit_rows,predicted_alpha
AR-HI,AR + HI docs,27.06432,27.919203,29.455725,31.35015,32.135815,31.34718,30.699144,4373,70
AR-HI,AR docs,26.720814,27.482286,28.254423,28.137762,25.372564,20.477335,18.462112,4373,30
AR-HI,HI docs,15.759075,18.675514,24.950436,29.81838,31.175434,30.946423,30.363998,4373,70
AR-ID,AR + ID docs,27.104961,27.844944,29.541462,31.24302,32.19402,31.758951,31.353304,4373,70
AR-ID,AR docs,26.720814,27.416828,28.758696,28.97286,26.748322,22.658804,20.963148,4373,50
AR-ID,ID docs,17.173862,19.744936,25.860357,30.556408,31.98003,31.57676,31.23286,4373,70
AR-PT,AR + PT docs,27.272577,28.284908,30.157375,32.32335,33.423756,33.356026,32.90323,4373,70
AR-PT,AR docs,26.720814,27.599442,28.926714,29.343878,27.01927,22.843502,20.855999,4373,50
AR-PT,PT docs,17.715603,20.817373,27.511503,32.102062,33.44794,33.32279,32.86123,4373,70
AR-RU,AR + RU docs,27.109406,27.98694,29.620329,30.690983,31.468296,30.975706,30.580873,4373,70
AR-RU,AR docs,26.720814,27.49818,28.592531,28.590284,25.92913,21.527128,19.409279,4373,50
AR-RU,RU docs,17.337696,19.770926,25.498362,29.850283,31.065928,30.637123,30.337633,4373,70
AR-VI,AR + VI docs,27.086597,27.821705,29.130262,30.117525,29.65522,28.868896,28.287258,4373,50
AR-VI,AR docs,26.720814,27.378109,28.380457,28.124487,24.61276,19.487602,17.527044,4373,30
AR-VI,VI docs,16.331207,18.678946,24.207144,28.386683,29.42486,28.836157,28.347124,4373,70
AR-ZH,AR + ZH docs,27.134287,27.94887,29.63593,30.44282,30.174952,29.44325,29.0343,4373,50
AR-ZH,AR docs,26.720814,27.471687,28.596075,28.162214,24.621964,19.349897,16.80499,4373,30
AR-ZH,ZH docs,15.323041,17.705965,23.861021,28.878462,29.953983,29.409836,28.94577,4373,70
DE-AR,AR docs,19.677122,21.71962,26.294352,28.929525,28.791157,27.645294,26.720814,4373,50
DE-AR,DE + AR docs,32.159374,32.63687,32.909157,31.49608,29.74594,28.14006,27.140919,4373,30
DE-AR,DE docs,31.79591,32.26444,32.526672,30.972755,25.872618,19.409561,16.506104,4373,30
DE-HI,DE + HI docs,32.044533,32.642616,33.46017,33.649025,32.766907,31.44581,30.649979,4373,50
DE-HI,DE docs,31.79591,32.44331,32.83489,31.854706,28.418646,22.52263,19.4499,4373,30
DE-HI,HI docs,20.340641,22.908245,28.166813,31.419474,31.773779,30.97933,30.363998,4373,70
DE-ID,DE + ID docs,32.25048,32.94557,33.802567,34.10365,33.50891,32.20948,31.654924,4373,50
DE-ID,DE docs,31.79591,32.3404,33.149837,32.688957,30.65911,27.002514,25.30522,4373,30
DE-ID,ID docs,25.645632,27.09767,30.220682,32.619404,32.89938,31.756628,31.23286,4373,70
DE-JA,DE + JA docs,31.973734,32.63208,33.666206,33.712616,32.64552,31.516203,31.161034,4373,50
DE-JA,DE docs,31.79591,32.427265,33.11389,32.368114,28.563099,22.89786,20.213835,4373,30
DE-JA,JA docs,19.54797,22.022701,27.646246,31.190119,31.720865,31.08504,30.724192,4373,70
DE-NL,DE + NL docs,32.295456,32.93659,33.66114,34.238407,34.40558,33.83537,33.25813,4373,70
DE-NL,DE docs,31.79591,32.365353,32.887676,32.926594,31.537699,29.196363,28.182825,4373,50
DE-NL,NL docs,28.72654,30.055721,32.522633,34.032825,34.11067,33.578083,33.03506,4373,70
DE-PT,DE + PT docs,32.39805,33.133537,34.12354,34.45829,34.514427,33.559475,33.032875,4373,70
DE-PT,DE docs,31.79591,32.336613,33.0914,32.998726,30.902874,27.804193,26.147177,4373,30
DE-PT,PT docs,26.21456,27.808653,31.336042,33.599857,34.187817,33.40198,32.86123,4373,70
DE-RU,DE + RU docs,32.23241,32.737167,33.841797,33.690002,32.694622,31.640932,30.89236,4373,30
DE-RU,DE docs,31.79591,32.38954,33.012238,32.35611,29.293688,25.246304,23.093052,4373,30
DE-RU,RU docs,23.578548,25.31679,29.115282,31.54859,31.610754,30.921974,30.337633,4373,70
DE-VI,DE + VI docs,32.201942,32.67997,33.318035,32.553036,30.792227,29.343304,28.661781,4373,30
DE-VI,DE docs,31.79591,32.267487,32.86183,31.86547,27.952593,22.981768,20.64415,4373,30
DE-VI,VI docs,22.706333,24.287777,28.067307,30.242172,30.038013,28.924963,28.347124,4373,50
DE-ZH,DE + ZH docs,32.127247,32.704834,32.8163,32.283413,31.035034,29.80449,29.23319,4373,30
DE-ZH,DE docs,31.79591,32.374252,32.652843,31.64058,27.32665,20.684534,17.86487,4373,30
DE-ZH,ZH docs,19.068783,21.51309,26.721008,30.18878,30.464163,29.480343,28.94577,4373,70
EN-AR,AR docs,24.833668,26.405954,29.8503,31.26133,30.129885,27.923069,26.720814,4373,50
EN-AR,EN + AR docs,39.48674,39.55507,38.905487,35.637276,31.853016,28.814571,27.420694,4373,10
EN-AR,EN docs,39.55783,39.570034,39.203335,36.8573,30.525936,22.299198,18.951641,4373,10
EN-DE,DE docs,32.559002,33.421036,34.865955,35.270893,34.30958,32.76921,31.79591,4373,50
EN-DE,EN + DE docs,39.574318,39.61808,39.653114,38.301662,35.95088,33.80858,32.906025,4373,30
EN-DE,EN docs,39.55783,39.589787,39.545937,38.370968,35.216934,30.92106,29.167034,4373,10
EN-ES,EN + ES docs,39.576157,39.51081,39.27513,37.888634,36.604004,35.27681,34.592304,4373,0
EN-ES,EN docs,39.55783,39.665344,39.337765,38.12689,35.230328,32.057865,30.426413,4373,10
EN-ES,ES docs,33.239044,34.093563,35.638313,36.270172,35.938858,34.949562,34.34663,4373,50
EN-FR,EN + FR docs,39.56883,39.51287,39.36377,37.938316,36.368706,34.783276,34.08872,4373,0
EN-FR,EN docs,39.55783,39.41531,39.18294,37.892944,35.101982,31.374493,29.768883,4373,0
EN-FR,FR docs,32.515785,33.437046,35.104237,35.68511,35.197712,33.955452,33.376606,4373,50
EN-HI,EN + HI docs,39.526737,39.590836,39.34369,37.38461,34.534283,32.094913,31.008629,4373,10
EN-HI,EN docs,39.55783,39.571407,39.348053,38.05268,33.631016,27.3343,23.949331,4373,10
